workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""35USIKEBNRHX19FO1NC5D69XENZN6S""",0,"""Submitted""","""Fri Sep 28 04:03:27 CEST 2018""","""Thu Sep 27 11:05:08 CEST 2018""","""Thu Sep 27 11:23:27 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""18.197033333333334"""
1,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""3FTYUGLFSUMSWTOX7AOXPVJ34OMD5K""",1,"""Submitted""","""Fri Sep 28 04:03:37 CEST 2018""","""Thu Sep 27 11:05:07 CEST 2018""","""Thu Sep 27 11:23:37 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""17.9786"""
2,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""3WSELTNVR33WJOWBOWFT2AHBZOBAT6""",2,"""Submitted""","""Fri Sep 28 04:10:18 CEST 2018""","""Thu Sep 27 11:06:12 CEST 2018""","""Thu Sep 27 11:30:18 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""22.091616666666667"""
3,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""37C0GNLMHF4OFXOBCTY2H1X30JXD60""",3,"""Submitted""","""Fri Sep 28 04:16:05 CEST 2018""","""Thu Sep 27 11:05:07 CEST 2018""","""Thu Sep 27 11:36:05 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""27.425283333333333"""
4,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""39K0FND3AHGS6T6RFZEHGWMJ5GFAM5""",4,"""Submitted""","""Fri Sep 28 04:20:49 CEST 2018""","""Thu Sep 27 11:05:04 CEST 2018""","""Thu Sep 27 11:40:49 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""15.486883333333333"""
5,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""3R6BYFZZP7DYWWM34M2I5ED890CFX7""",5,"""Submitted""","""Fri Sep 28 04:24:58 CEST 2018""","""Thu Sep 27 11:05:08 CEST 2018""","""Thu Sep 27 11:44:58 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""33.53795"""
6,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""3AWETUDC92T7BIO86CWO5W6BXT9ZIO""",6,"""Submitted""","""Fri Sep 28 04:50:21 CEST 2018""","""Thu Sep 27 11:51:11 CEST 2018""","""Thu Sep 27 12:10:21 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""18.033383333333333"""
7,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""34T446B1C0FJWUWIA8NAOU5U2H7C08""",7,"""Submitted""","""Fri Sep 28 05:06:38 CEST 2018""","""Thu Sep 27 11:52:54 CEST 2018""","""Thu Sep 27 12:26:38 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""33.3662"""
8,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""3SITXWYCNVA8JFANZKGMMOMNU3RXBG""",8,"""Submitted""","""Fri Sep 28 05:10:50 CEST 2018""","""Thu Sep 27 11:50:40 CEST 2018""","""Thu Sep 27 12:30:50 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""33.32515"""
9,"""3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""32X1LLNITPZ6LLCIXH0J6UIL71ED3X""","""Fun psychology / vision / language experiment! (bug fixed)""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Thu Sep 27 11:04:36 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2700""","""60000""","""Sat Oct 27 11:04:36 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3WUVMVA7OB4PIG7G4MZ9ZEM44ZTAZD""","""36W0OB37HWF7FNDO0UE35K5WXFNHZ4""",9,"""Submitted""","""Fri Sep 28 05:21:02 CEST 2018""","""Thu Sep 27 12:05:56 CEST 2018""","""Thu Sep 27 12:41:02 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""25.5944"""
