workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
0,"""English""","""2""","""Male""","""25""","""no comments""","""No""","""Yes""","""4.00""","""1"""
1,"""English""","""2""","""Male""","""35""","""love these hits, thanks!""","""No""","""Yes""","""4""","""3"""
2,"""English""","""1""","""Male""","""38""","""""","""No""","""Yes""","""4""","""3"""
3,"""English""","""-1""","""Female""","""24""","""""",NA,"""Yes""","""""","""3"""
4,"""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""2"""
5,"""English""","""1""","""Female""","""30""","""""","""No""","""Yes""","""$6.00""","""2"""
6,"""english""","""2""","""Female""","""55""","""it was fun a bit long after awhile""","""No""","""Yes""","""5.00""","""2"""
7,"""English""","""1""","""Male""","""24""","""""","""No""","""Yes""","""$4.50""","""3"""
8,"""English""","""2""","""Male""","""30""","""""","""No""","""Yes""","""4.00""","""1"""
9,"""English""","""2""","""Male""","""27""","""""","""No""","""Yes""","""4""","""3"""
10,"""English""","""2""","""Male""","""23""","""thanks a lot, was fun!""","""No""","""Yes""","""4-5""","""2"""
11,"""English""","""0""","""Female""","""43""","""A slightly longer timer would have been nice. I felt like I had to rush, since I wasn&quotechart sure if the 30 minute estimate would be accurate for me (I got tense and kept losing count/forgetting the statement I had just read).""","""No""","""Yes""","""yes""","""3"""
12,"""English""","""2""","""Female""","""44""","""""","""No""","""Yes""","""4.00""","""2"""
13,"""english""","""1""","""Female""","""30""","""""","""No""","""Yes""","""4.00""","""2"""
14,"""Vietnamese""","""2""","""Male""","""32""","""""","""Yes""","""Yes""","""4""","""3"""
